,activeArea,firingRate_mean,firingRate_std,firingRate_CV,firingRate_median,firingRate_P10,firingRate_P90,amplitude_mean,amplitude_std,amplitude_CV,amplitude_median,amplitude_P10,amplitude_P90,ISI_mean,ISI_std,ISI_CV,ISI_median,ISI_P10,ISI_P90,date,wellplateID,wellNo,runID,assayTag,Well Group Name,Well Group Color,control,Cell Type,Media Type,Plating Date
Instance,Active Area,Mean Firing Rate,Firing Rate std,Firing Rate CV,Median Firing Rate,Firing Rate 10th percentile,Firing Rate 90th percentile,Mean Spike Amplitude,Spike Amplitude std,Spike Amplitude CV,Median Spike Amplitude,Spike Amplitude 10th percentile,Spike Amplitude 90th percentile,Mean ISI,ISI std,ISI CV,Median ISI,ISI 10th percentile,ISI 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Assay Tag,,,Control,,,
1,1.08,0.5,0.5,0.99,0.3,0.13,1.42,40.19,14.91,0.37,35.49,26.78,68.23,89.36,46.93,0.53,95.22,16.6,145.33,2023-07-17,M04707,1,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
2,0.73,0.27,0.25,0.91,0.17,0.13,0.5,40.14,26.35,0.66,34.81,22.76,54.55,74.45,43.42,0.58,64.4,28.7,142.6,2023-07-17,M04707,2,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
3,0.88,0.27,0.19,0.69,0.2,0.13,0.57,39.71,13.4,0.34,36.01,23.15,59.69,61.77,44.26,0.72,52.7,15.74,117.29,2023-07-17,M04707,3,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
4,1.18,0.54,0.55,1.03,0.33,0.13,1.23,37.66,13.23,0.35,33.71,24.99,53.69,85.98,39.56,0.46,82.79,38.65,140.57,2023-07-17,M04707,4,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
5,1.35,0.4,0.44,1.09,0.2,0.13,1.16,41.7,13.07,0.31,39.36,27.01,60.4,82.3,42.02,0.51,76.16,32.7,145.72,2023-07-17,M04707,5,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
6,1.23,0.28,0.16,0.57,0.23,0.13,0.47,43.18,19.29,0.45,38.72,27.73,61.91,84.0,44.7,0.53,77.8,29.91,144.74,2023-07-17,M04707,6,000129,DIV5 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
7,1.35,0.39,0.36,0.92,0.27,0.13,0.8,43.35,20.03,0.46,37.02,29.74,70.82,80.54,46.59,0.58,78.19,23.24,143.76,2023-07-19,M04707,1,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
8,1.57,0.31,0.26,0.85,0.23,0.12,0.56,51.91,45.14,0.87,38.5,27.45,85.1,67.59,41.08,0.61,55.18,25.09,126.79,2023-07-19,M04707,2,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
9,1.37,0.29,0.23,0.78,0.2,0.12,0.57,43.84,17.56,0.4,38.47,29.75,62.52,63.87,32.01,0.5,58.7,26.87,112.13,2023-07-19,M04707,3,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
10,2.14,0.42,0.41,0.96,0.27,0.13,0.85,39.88,21.64,0.54,35.27,26.75,54.36,82.91,37.54,0.45,78.45,39.26,133.33,2023-07-19,M04707,4,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
11,2.33,0.34,0.36,1.05,0.2,0.12,0.82,47.63,42.96,0.9,41.73,30.21,66.41,75.3,35.2,0.47,70.8,33.2,123.95,2023-07-19,M04707,5,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
12,1.98,0.28,0.18,0.65,0.23,0.12,0.48,47.83,43.02,0.9,38.7,29.14,67.74,81.38,40.92,0.5,77.54,33.84,142.42,2023-07-19,M04707,6,000134,DIV7 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
13,0.96,0.44,0.6,1.37,0.22,0.12,0.82,45.84,39.91,0.87,37.34,30.45,61.32,74.44,41.64,0.56,69.78,26.98,127.58,2023-07-20,M04707,1,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
14,1.77,0.41,0.44,1.08,0.25,0.12,0.9,58.67,51.25,0.87,40.49,29.52,112.59,60.03,32.64,0.54,51.31,26.25,103.92,2023-07-20,M04707,2,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
15,1.54,1.05,1.25,1.19,0.42,0.13,3.02,39.6,14.15,0.36,36.95,27.86,52.41,61.7,28.18,0.46,62.94,23.85,92.28,2023-07-20,M04707,3,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
16,2.49,0.33,0.23,0.69,0.25,0.13,0.68,44.2,29.72,0.67,37.69,28.81,60.47,81.14,37.02,0.46,77.9,36.76,130.21,2023-07-20,M04707,4,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
17,2.49,0.38,0.38,1.02,0.22,0.13,0.89,51.78,39.74,0.77,43.54,31.39,69.26,75.73,36.18,0.48,67.89,36.44,123.07,2023-07-20,M04707,5,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
18,2.42,0.34,0.55,1.61,0.2,0.12,0.53,47.07,40.72,0.87,39.4,30.42,62.59,75.34,35.68,0.47,70.55,33.86,124.78,2023-07-20,M04707,6,000143,DIV8 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
19,5.94,0.51,0.55,1.08,0.3,0.13,1.16,44.36,27.65,0.62,37.0,27.77,66.91,69.48,34.89,0.5,62.46,31.35,117.2,2023-07-24,M04707,1,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
20,7.32,0.58,0.68,1.17,0.33,0.13,1.32,53.71,62.93,1.17,36.82,26.25,81.83,60.87,33.85,0.56,53.6,26.08,106.34,2023-07-24,M04707,2,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
21,7.21,0.43,0.41,0.95,0.3,0.13,0.9,45.31,30.28,0.67,37.58,28.05,63.73,66.28,35.26,0.53,59.59,27.32,116.38,2023-07-24,M04707,3,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
22,5.39,0.39,0.35,0.92,0.27,0.13,0.8,43.94,33.63,0.77,36.19,27.23,60.42,71.06,37.5,0.53,64.15,29.45,122.84,2023-07-24,M04707,4,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
23,5.28,0.37,0.35,0.96,0.23,0.13,0.8,56.23,85.33,1.52,41.55,29.47,82.87,72.28,35.95,0.5,66.0,30.8,121.5,2023-07-24,M04707,5,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
24,6.19,0.38,0.31,0.81,0.27,0.13,0.77,46.13,31.96,0.69,37.56,28.54,68.07,70.79,36.47,0.52,63.18,31.3,122.64,2023-07-24,M04707,6,000166,DIV12 W3/4 Organoids,Default Group,#999999,0,N/A,N/A,N/A
25,25.26,1.01,1.58,1.56,0.5,0.17,2.33,47.79,32.43,0.68,38.68,27.78,73.27,83.82,33.52,0.4,79.38,45.66,128.81,2023-07-28,M04707,1,000200,DIV16 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
26,21.48,1.13,1.41,1.24,0.6,0.17,2.79,52.83,55.88,1.06,38.67,26.71,84.4,79.59,34.75,0.44,75.74,38.92,124.93,2023-07-28,M04707,2,000200,DIV16 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
27,22.1,0.82,1.03,1.25,0.47,0.17,1.85,47.03,33.33,0.71,38.21,27.86,69.93,82.69,33.76,0.41,78.0,44.68,128.9,2023-07-28,M04707,3,000200,DIV16 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
28,12.74,0.48,0.47,0.98,0.33,0.13,1.03,44.68,28.72,0.64,37.33,27.68,64.99,84.34,35.45,0.42,80.79,42.26,133.3,2023-07-28,M04707,4,000200,DIV16 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
29,8.39,0.52,0.61,1.17,0.3,0.13,1.18,54.88,43.23,0.79,42.72,30.21,85.91,82.6,36.08,0.44,78.03,40.62,131.11,2023-07-28,M04707,5,000200,DIV16 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
30,13.36,0.63,0.65,1.04,0.4,0.13,1.43,48.19,35.35,0.73,38.92,28.19,72.06,90.27,35.11,0.39,87.46,48.5,136.51,2023-07-28,M04707,6,000200,DIV16 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
31,38.32,1.35,1.89,1.4,0.66,0.17,3.26,53.4,40.25,0.75,42.35,28.85,85.87,84.1,32.09,0.38,81.37,47.1,124.82,2023-08-01,M04707,1,000216,DIV20 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
32,37.63,1.38,1.71,1.24,0.76,0.17,3.39,56.34,55.67,0.99,41.62,27.24,93.51,81.13,32.1,0.4,77.79,43.8,122.88,2023-08-01,M04707,2,000216,DIV20 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
33,32.91,0.94,1.25,1.34,0.5,0.17,2.13,50.16,36.62,0.73,39.7,28.24,78.23,83.9,32.54,0.39,80.52,46.08,126.25,2023-08-01,M04707,3,000216,DIV20 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
34,17.98,0.63,0.66,1.05,0.4,0.13,1.43,45.89,29.54,0.64,37.94,28.01,68.58,87.61,35.45,0.4,83.3,45.39,135.0,2023-08-01,M04707,4,000216,DIV20 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
35,12.34,0.67,0.77,1.16,0.37,0.13,1.54,57.0,47.75,0.84,43.41,31.47,90.13,84.18,33.76,0.4,80.1,45.3,130.18,2023-08-01,M04707,5,000216,DIV20 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
36,19.55,0.78,0.83,1.06,0.47,0.17,1.86,49.79,38.96,0.78,39.42,28.66,76.53,91.97,34.49,0.38,88.22,51.44,138.6,2023-08-01,M04707,6,000216,DIV20 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
37,38.67,1.26,1.58,1.25,0.67,0.17,3.13,53.25,39.23,0.74,42.17,29.15,86.03,74.59,34.74,0.47,69.89,34.05,120.06,2023-08-07,M04707,1,000236,DIV26 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
38,38.46,0.99,1.16,1.17,0.57,0.17,2.36,58.01,56.59,0.98,42.28,28.57,95.3,69.02,35.71,0.52,63.93,27.57,118.48,2023-08-07,M04707,2,000236,DIV26 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
39,40.88,0.87,0.97,1.11,0.5,0.17,2.1,51.79,34.68,0.67,41.8,29.21,81.27,74.14,31.93,0.43,70.77,37.24,114.91,2023-08-07,M04707,3,000236,DIV26 W3/4 Organoids,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
40,8.03,0.42,0.39,0.93,0.3,0.13,0.83,45.13,32.09,0.71,36.99,27.59,66.17,74.87,38.1,0.51,70.3,30.02,129.53,2023-08-07,M04707,4,000236,DIV26 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
41,4.03,0.41,0.39,0.96,0.27,0.13,0.87,49.69,38.15,0.77,39.8,29.58,72.83,74.23,41.44,0.56,64.5,28.69,130.03,2023-08-07,M04707,5,000236,DIV26 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
42,12.01,0.59,0.58,0.99,0.37,0.13,1.33,48.37,35.09,0.73,39.13,28.93,74.47,72.07,34.91,0.48,64.63,34.52,120.0,2023-08-07,M04707,6,000236,DIV26 W3/4 Organoids,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
43,42.81,1.15,1.25,1.09,0.62,0.15,2.84,54.72,38.5,0.7,43.19,30.15,89.1,71.73,33.88,0.47,67.86,30.48,115.84,2023-08-14,M04707,1,000271,DIV33 W3/4 AllWells,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
44,47.52,1.2,1.34,1.12,0.68,0.17,3.01,57.96,48.77,0.84,43.59,30.09,96.71,68.47,33.99,0.5,63.78,28.4,113.67,2023-08-14,M04707,2,000271,DIV33 W3/4 AllWells,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
45,37.58,0.94,1.05,1.12,0.5,0.15,2.33,49.28,28.74,0.58,41.04,30.07,75.4,77.04,32.39,0.42,73.8,39.6,118.24,2023-08-14,M04707,3,000271,DIV33 W3/4 AllWells,Week 3,#00ff00,0,Organoids,Diff Media (Plus),12.07.2023
46,10.11,0.38,0.36,0.94,0.25,0.13,0.78,47.1,31.55,0.67,38.32,28.8,69.68,66.8,38.56,0.58,58.77,24.72,119.83,2023-08-14,M04707,4,000271,DIV33 W3/4 AllWells,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
47,3.33,0.51,0.5,0.97,0.3,0.13,1.25,44.82,20.51,0.46,39.83,29.73,66.49,81.72,45.64,0.56,78.76,21.46,144.44,2023-08-14,M04707,5,000271,DIV33 W3/4 AllWells,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
48,11.56,0.72,0.73,1.01,0.42,0.13,1.75,45.89,25.79,0.56,39.04,29.49,69.08,71.13,37.09,0.52,68.09,28.51,120.62,2023-08-14,M04707,6,000271,DIV33 W3/4 AllWells,Week 4,#55aaff,0,Organoids,Diff Media (Plus),12.07.2023
